store_name,state,city,zip,store_id,lat,lon
Ankeny,IA,Ankeny,50021,2107,41.7212,-93.5682
Cranberry,PA,Cranberry-Township,16066,4135,40.685,-80.1071
Thomas-Rd,AZ,Phoenix,85018,477,33.4958,-111.9883
Falls-Church,VA,Falls-Church,22044,4608,38.8589,-77.1548
Northlake,IL,Northlake,60164,1919,41.9214,-87.8924
Waterloo,IA,Waterloo,50702,2101,42.4731,-92.3365
Ontario-CA,CA,Ontario,91762,6884,34.0584,-117.6665
Deer-Park,NY,Deer-Park,11729,1285,40.7591,-73.3257
Mill-Basin,NY,Brooklyn,11234,6158,40.6205,-73.9239
Sioux-Falls,SD,Sioux-Falls,57106,4301,43.5179,-96.7924
N-Mcallen,TX,Mcallen,78504,516,26.2556,-98.2303
Patton-Twp,PA,State-College,16803,6841,40.8082,-77.8926
Bridgewater,MA,Bridgewater,02324,2603,41.9773,-70.9723
Central-Islip,NY,Central-Islip,11722,6955,40.7866,-73.1961
Cadillac,MI,Cadillac,49601,2752,44.2504,-85.43
Lees-Summit,MO,Lees-Summit,64081,3026,38.9142,-94.4073
Lakeline,TX,Austin,78717,509,30.506,-97.7472
Glenview,IL,Glenview,60026,1987,42.0698,-87.7878
Aurora,WA,Shoreline,98133,4707,47.7377,-122.3431
Bitterlake,WA,Seattle,98133,4706,47.7377,-122.3431
Lake-Mary,FL,Lake-Mary,32746,264,28.7577,-81.3508
Zanesville,OH,Zanesville,43701,3883,39.9274,-82.0041
Taunton,MA,Taunton,02780,2677,41.905,-71.1026
Riverdale-NJ,NJ,Riverdale,07457,919,40.9931,-74.3088
N-Fulton,GA,Duluth,30097,131,34.025999999999996,-84.147
Dixie-Hwy-KY,KY,Louisville,40258,2302,38.1457,-85.8641
Burton,MI,Burton,48509,2717,43.0259,-83.6041
Mission-Viejo,CA,Mission-Viejo,92692,614,33.6144,-117.6433
Gonzales,LA,Gonzales,70737,383,30.2473,-90.91799999999999
Georgetown,TX,Georgetown,78628,6538,30.6411,-97.7511
Gladstone,MO,Gladstone,64118,3008,39.2133,-94.5743
S-Roanoke,VA,Roanoke,24014,4628,37.2327,-79.9463
Midland,TX,Midland,79707,561,32.0199,-102.1476
DahloneGA,GA,Dahlonega,30533,6980,34.5299,-83.9798
Arden-Arcade,CA,Sacramento,95825,6966,38.5892,-121.4057
West-Delray,FL,Delray-Beach,33446,6325,26.4517,-80.158
Greensboro-GA,GA,Greensboro,30642,8584,33.5637,-83.1702
Westfield,MA,Westfield,01085,8923,42.1251,-72.7495
Hamilton-Mill,GA,Dacula,30019,161,33.9883,-83.8795
Highlands-Ranch,CO,Highlands-Ranch,80129,1540,39.5397,-105.0109
Amarillo,TX,Amarillo,79124,6552,35.2703,-101.943
Savannah,GA,Savannah,31419,122,31.9959,-81.2358
Richardson,TX,Garland,75044,556,32.9522,-96.6654
New-Milford,CT,New-Milford,06776,4878,41.5817,-73.4128
Snohomish,WA,Snohomish,98290,4745,47.8954,-122.0716
Irondequoit,NY,Rochester,14621,1273,43.1834,-77.6043
Hampton,VA,Hampton,23666,4612,37.0462,-76.4096
Long-Beach,CA,Signal-Hill,90755,1062,33.8029,-118.1677
Signal-Hill,CA,Signal-Hill,90755,648,33.8029,-118.1677
Warner-Robins,GA,Warner-Robins,31093,163,32.6368,-83.6395
Jackson,MI,Jackson,49202,2770,42.2634,-84.4083
San-Pedro,CA,San-Pedro,90731,1005,33.7339,-118.2914
Clayton-GA,GA,Clayton,30525,8412,34.8826,-83.4065
Lufkin,TX,Lufkin,75901,513,31.27,-94.6469
S-Chesapeake,VA,Chesapeake,23322,4656,36.6434,-76.242
Knightdale,NC,Knightdale,27545,3663,35.7789,-78.4898
Oakbrook-Terrace,IL,Oakbrook-Terrace,60181,1982,41.8799,-87.9782
Rock-Springs,WY,Rock-Springs,82901,6003,41.606,-109.23
East-Reading,PA,Reading,19606,4164,40.3351,-75.875
Chicago-Ridge,IL,Chicago-Ridge,60415,1935,41.7017,-87.7774
Wilkins,PA,Pittsburgh,15235,4116,40.4598,-79.8224
Palmdale,CA,Palmdale,93551,638,34.6017,-118.23100000000001
Ft-Oglethorpe,GA,Fort-Oglethorpe,30742,1769,34.9506,-85.2432
Denton,TX,Denton,76208,6840,33.2117,-97.0612
Visalia,CA,Visalia,93277,6615,36.3114,-119.3065
